uid,rq_index,rq_text,metric_candidates,data_assets,next_internal_change,external_dependency,primary_sources,evidence_confidence
U3,3,身体・環境結合を除去したモデルで失われる機能をどう定量化するか。,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,connectome + 行動同時計測セット,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,中 (構造データは高、機能接続は未統一)
U3,4,『必要最小構成』の判定を理論的主張ではなくデータでどう固定するか。,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,connectome + 行動同時計測セット,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,中 (構造データは高、機能接続は未統一)
U3,5,glymphatic/meningeal lymphatic 系を含むとき、予測精度と説明可能性はどの程度改善するか。,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失,connectome + 行動同時計測セット,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,中 (構造データは高、機能接続は未統一)
U3,6,免疫監視（髄膜免疫・炎症性シグナル）を除外したモデルは、どの時点で長期予測が破綻するか。,予測改善率(ΔR2); 外挿性能; 構成要素アブレーション損失; 除外判定一致率; データ保持率,connectome + 行動同時計測セット,要素追加アブレーション計画を datasets.md に追加,"担当: 実験チーム, 前提: グリア/免疫測定系, 完了条件: 構成要素ごとの効果量公開",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,中 (構造データは高、機能接続は未統一)
U4,1,観測データ由来の相関を因果グラフへ持ち上げる識別条件は何か。,介入効果一致率; 因果辺再現率; 反証率,介入ログ付き時系列データ,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,中 (方法論あり、介入標準不足)
U4,2,介入実験（刺激・抑制・入力撹乱）で検証可能な最小因果主張は何か。,介入効果一致率; 因果辺再現率; 反証率; 介入効果量; do推定誤差,介入ログ付き時系列データ,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,中 (方法論あり、介入標準不足)
U4,3,active inferenceやDCMの理論予測を、反事実評価にどう接続するか。,介入効果一致率; 因果辺再現率; 反証率; 反事実一貫性スコア,介入ログ付き時系列データ,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,中 (方法論あり、介入標準不足)
U4,4,同値判定の失敗条件（falsification）をどの水準で宣言するか。,介入効果一致率; 因果辺再現率; 反証率,介入ログ付き時系列データ,因果同値の失敗条件チェックリストを verification.md に追記,"担当: 実験設計チーム, 前提: 介入プロトコル承認, 完了条件: 反証試験レポート公開",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,中 (方法論あり、介入標準不足)
U7,1,BIDS拡張で同期・QC・刺激ログをどこまで必須化するか。,時刻ずれ(ms); モダリティ整合率; QC通過率; 時刻ずれ(ms); ジッタ分散,BIDS準拠マルチモーダルデータ,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,中〜高 (標準化進展、閾値設計不足)
U7,2,LSL等の時刻同期誤差を検証可能な指標に落とせるか。,時刻ずれ(ms); モダリティ整合率; QC通過率; 時刻ずれ(ms); ジッタ分散,BIDS準拠マルチモーダルデータ,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,中〜高 (標準化進展、閾値設計不足)
U7,3,"アーチファクト除去（ASR, ZapLine等）の設定差が結果へ与える影響をどう監査するか。",時刻ずれ(ms); モダリティ整合率; QC通過率,BIDS準拠マルチモーダルデータ,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,中〜高 (標準化進展、閾値設計不足)
U7,4,モダリティ間アライメント失敗時の再計測/除外基準をどう固定するか。,時刻ずれ(ms); モダリティ整合率; QC通過率; 除外判定一致率; データ保持率,BIDS準拠マルチモーダルデータ,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,中〜高 (標準化進展、閾値設計不足)
U7,5,前処理差分をCIで自動比較する場合、どの再現率低下をリリースブロック閾値にするか。,時刻ずれ(ms); モダリティ整合率; QC通過率; 閾値感度; ROC-AUC,BIDS準拠マルチモーダルデータ,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,中〜高 (標準化進展、閾値設計不足)
U7,6,モダリティ欠損（EEG欠損・fMRI欠損）条件でも同等結論を保てる最小観測セットは何か。,時刻ずれ(ms); モダリティ整合率; QC通過率,BIDS準拠マルチモーダルデータ,BIDS必須メタデータ監査項目を datasets.md に明記,"担当: 計測運用チーム, 前提: 同期装置校正, 完了条件: 再解析一致率>事前閾値",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,中〜高 (標準化進展、閾値設計不足)
U8,1,閉ループBCIの遅延許容域を制御理論的にどう同定するか。,安定マージン; 異常検知再現率; フェイルセーフ作動率,閉ループ長期ログ,閉ループ安全KPI表を verification.md に追加,"担当: 臨床/安全チーム, 前提: 倫理審査, 完了条件: 週〜月スケール安全性評価公開",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,中〜高 (臨床進展、長期一般化不足)
U8,2,オンライン較正と概念ドリフト対策をどう組み込むか。,安定マージン; 異常検知再現率; フェイルセーフ作動率; ドリフト率; 再学習頻度,閉ループ長期ログ,閉ループ安全KPI表を verification.md に追加,"担当: 臨床/安全チーム, 前提: 倫理審査, 完了条件: 週〜月スケール安全性評価公開",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,中〜高 (臨床進展、長期一般化不足)
U8,3,個体差と日内変動をまたぐ安定性をどの指標で評価するか。,安定マージン; 異常検知再現率; フェイルセーフ作動率,閉ループ長期ログ,閉ループ安全KPI表を verification.md に追加,"担当: 臨床/安全チーム, 前提: 倫理審査, 完了条件: 週〜月スケール安全性評価公開",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,中〜高 (臨床進展、長期一般化不足)
U8,4,異常検知とフェイルセーフを評価契約へどう組み込むか。,安定マージン; 異常検知再現率; フェイルセーフ作動率,閉ループ長期ログ,閉ループ安全KPI表を verification.md に追加,"担当: 臨床/安全チーム, 前提: 倫理審査, 完了条件: 週〜月スケール安全性評価公開",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,中〜高 (臨床進展、長期一般化不足)
U8,5,ヒューマンオーバーライドを導入したとき、誤作動率と回復時間をどうKPI化するか。,安定マージン; 異常検知再現率; フェイルセーフ作動率,閉ループ長期ログ,閉ループ安全KPI表を verification.md に追加,"担当: 臨床/安全チーム, 前提: 倫理審査, 完了条件: 週〜月スケール安全性評価公開",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,中〜高 (臨床進展、長期一般化不足)
U8,6,週〜月スケール運用での再学習頻度を、性能劣化と安全余裕のトレードオフでどう最適化するか。,安定マージン; 異常検知再現率; フェイルセーフ作動率; 再学習間隔最適値; 劣化速度,閉ループ長期ログ,閉ループ安全KPI表を verification.md に追加,"担当: 臨床/安全チーム, 前提: 倫理審査, 完了条件: 週〜月スケール安全性評価公開",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,中〜高 (臨床進展、長期一般化不足)
U10,1,Landauer下限を神経計算でどう適用/解釈するか。,消費エネルギー/bit; 散逸推定誤差; 熱制約違反率,神経活動+代謝同時計測,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,中 (理論先行、実測不足)
U10,2,非平衡熱力学指標と神経情報処理効率の対応をどう定義するか。,消費エネルギー/bit; 散逸推定誤差; 熱制約違反率,神経活動+代謝同時計測,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,中 (理論先行、実測不足)
U10,3,理論式を実データ（神経活動・代謝）へ落とし込む観測設計をどう作るか。,消費エネルギー/bit; 散逸推定誤差; 熱制約違反率,神経活動+代謝同時計測,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,中 (理論先行、実測不足)
U10,4,WBE計算コスト評価に熱力学制約をどう統合するか。,消費エネルギー/bit; 散逸推定誤差; 熱制約違反率,神経活動+代謝同時計測,熱力学KPIの定義表を glossary.md に追加,"担当: 物理実験チーム, 前提: 代謝計測環境, 完了条件: 実測での下限検証レポート",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,中 (理論先行、実測不足)
U11,1,理論間で比較可能な入出力仕様をどう定義するか。,理論間識別力; 指標計算コスト; 偽陽性/偽陰性,共通課題・共通刺激データ,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,中〜高 (比較実験進展、統一判定不足)
U11,2,PCIやIIT近似計算の計算量制約をどう扱うか。,理論間識別力; 指標計算コスト; 偽陽性/偽陰性; 計算時間; メモリ使用量,共通課題・共通刺激データ,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,中〜高 (比較実験進展、統一判定不足)
U11,3,理論予測の対立点を単一実験計画へどう落とすか。,理論間識別力; 指標計算コスト; 偽陽性/偽陰性,共通課題・共通刺激データ,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,中〜高 (比較実験進展、統一判定不足)
U11,4,意識指標を臨床/研究で運用する際の失敗条件をどう明示するか。,理論間識別力; 指標計算コスト; 偽陽性/偽陰性,共通課題・共通刺激データ,理論比較の入力仕様テンプレを verification.md に追加,"担当: 意識研究WG, 前提: 事前登録, 完了条件: 競合理論の同条件比較結果公開",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,中〜高 (比較実験進展、統一判定不足)
U12,1,分岐後主体の識別子を何に基づいて付与するか。,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; ID衝突率; 責任追跡率,分岐イベント監査ログ,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,中 (法制度議論あり、運用規約不足)
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; ID衝突率; 責任追跡率; 撤回反映遅延; 権限残留率,分岐イベント監査ログ,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,中 (法制度議論あり、運用規約不足)
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延,分岐イベント監査ログ,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,中 (法制度議論あり、運用規約不足)
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延,分岐イベント監査ログ,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,中 (法制度議論あり、運用規約不足)
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; 時刻ずれ(ms); ジッタ分散; ID衝突率; 責任追跡率,分岐イベント監査ログ,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,中 (法制度議論あり、運用規約不足)
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; ID衝突率; 責任追跡率; 撤回反映遅延; 権限残留率,分岐イベント監査ログ,分岐本人性の監査データ項目を issue.md に追記,"担当: 法務/ガバナンスWG, 前提: 管轄法域整理, 完了条件: 運用規約v1公開",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,中 (法制度議論あり、運用規約不足)
U13,1,brain-to-text成功を『意味復元』と『因果再現』へ分解できるか。,模倣-因果乖離指数; リーク検出率; 反事実一貫性,brain-to-text + 介入/対照データ,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,中 (手法進展、神経デコード統合不足)
U13,2,LLMの幻覚・整合性検査を神経デコード評価へどう接続するか。,模倣-因果乖離指数; リーク検出率; 反事実一貫性,brain-to-text + 介入/対照データ,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,中 (手法進展、神経デコード統合不足)
U13,3,同一出力でも内部機構が異なるケースをどう検出するか。,模倣-因果乖離指数; リーク検出率; 反事実一貫性,brain-to-text + 介入/対照データ,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,中 (手法進展、神経デコード統合不足)
U13,4,模倣性能の上限を因果評価でどこまで抑制できるか。,模倣-因果乖離指数; リーク検出率; 反事実一貫性,brain-to-text + 介入/対照データ,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,中 (手法進展、神経デコード統合不足)
U13,5,視覚知覚と視覚想起で同一デコーダを使ったとき、意味復元精度の劣化パターンはどこで分岐するか。,模倣-因果乖離指数; リーク検出率; 反事実一貫性; ID衝突率; 責任追跡率,brain-to-text + 介入/対照データ,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,中 (手法進展、神経デコード統合不足)
U13,6,プロンプト誘導・データリーク・shortcut学習を分離検出する対照実験をどう設計するか。,模倣-因果乖離指数; リーク検出率; 反事実一貫性; リーク検出率; 交差検証乖離,brain-to-text + 介入/対照データ,模倣分離ベンチ設計草案を verification.md に追加,"担当: ML評価チーム, 前提: 対照実験設計, 完了条件: 統一ベンチ公開",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,中 (手法進展、神経デコード統合不足)
U14,1,データ/コード/評価環境の固定粒度をどこまで要求するか。,再現成功率; 環境固定率; 失敗再現時間,データ/コード/環境固定済み公開セット,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,中〜高 (標準化進展、失敗公開運用不足)
U14,2,探索研究と検証研究を運用上どう分離するか。,再現成功率; 環境固定率; 失敗再現時間,データ/コード/環境固定済み公開セット,追試失敗レジストリ雛形を issue.md に追加,"担当: 再現性WG, 前提: コンテナ運用合意, 完了条件: 追試レポート定期公開",https://doi.org/10.1016/j.jneumeth.2023.109931 | https://bids-specification.readthedocs.io/en/stable/ | https://arxiv.org/abs/2311.04912 | https://zenodo.org/records/18201723,中〜高 (標準化進展、失敗公開運用不足)
