uid,rq_index,rq_text,focus_note_plain,must_read_1,must_read_2,supplementary_1,metric_candidates,repository_followup,this_round_action,external_dependency_task,evidence_confidence,source_round_doc
U7,5,前処理差分をCIで自動比較する場合、どの再現率低下をリリースブロック閾値にするか。,CIで前処理差分を回すなら、どの低下率で停止するかを数値で固定する必要があります。,https://bids-specification.readthedocs.io/en/stable/,https://doi.org/10.1109/TBME.2024.3383142,,時刻ずれ(ms); モダリティ整合率; QC通過率; 閾値感度; ROC-AUC,BIDS必須メタデータ監査項目を datasets.md に明記,U7 RQ5に「リリースブロック閾値（再現率低下%）」を設定する欄を追加します。,担当: CI運用チーム。前提: ベースライン実験固定。完了条件: 失敗時自動ブロック動作確認。,中〜高 (標準化進展、閾値設計不足),research_deepening_round3_2026-03-01.md#u7
U7,6,モダリティ欠損（EEG欠損・fMRI欠損）条件でも同等結論を保てる最小観測セットは何か。,モダリティ欠損下でも結論が保てるかは、公開データで最小観測セットを検証する必要があります。,https://doi.org/10.3389/fnrgo.2024.1411305,https://doi.org/10.1515/revneuro-2023-0098,,時刻ずれ(ms); モダリティ整合率; QC通過率,BIDS必須メタデータ監査項目を datasets.md に明記,U7 RQ6に欠損シミュレーション列（EEG欠損/fMRI欠損）を追加します。,担当: 解析WG。前提: 欠損実験計画。完了条件: 最小観測セットでの結論維持率公開。,中〜高 (標準化進展、閾値設計不足),research_deepening_round3_2026-03-01.md#u7
U11,1,理論間で比較可能な入出力仕様をどう定義するか。,理論比較は「同じ入力で比べる」ことが本質で、理論ごとに別データだと結論比較ができません。,https://doi.org/10.1038/s41586-025-08888-1,https://doi.org/10.1371/journal.pone.0268577,,理論間識別力; 指標計算コスト; 偽陽性/偽陰性,理論比較の入力仕様テンプレを verification.md に追加,U11 RQ1に「共通入力仕様」の必須チェック欄を追加します。,担当: 意識研究WG。前提: 事前登録合意。完了条件: 同条件比較結果の公開。,中〜高 (比較実験進展、統一判定不足),research_deepening_round5_2026-03-01.md#u11
U11,2,PCIやIIT近似計算の計算量制約をどう扱うか。,PCI/IITは計算コストが重く、近似計算を使うと適用範囲の明示が必要です。,https://doi.org/10.1093/nc/niad016,https://doi.org/10.3390/e25020334,,理論間識別力; 指標計算コスト; 偽陽性/偽陰性; 計算時間; メモリ使用量,理論比較の入力仕様テンプレを verification.md に追加,U11 RQ2に「計算時間」「近似条件」「適用外条件」を記録する欄を追加します。,担当: 解析WG。前提: 計算資源制約の合意。完了条件: 近似の妥当域を示したレポート。,中〜高 (比較実験進展、統一判定不足),research_deepening_round5_2026-03-01.md#u11
U11,3,理論予測の対立点を単一実験計画へどう落とすか。,理論の対立点は、1つの実験計画に落として先に固定しないと、後で都合よく解釈されます。,https://doi.org/10.1038/s41586-025-08888-1,https://doi.org/10.1371/journal.pone.0268577,,理論間識別力; 指標計算コスト; 偽陽性/偽陰性,理論比較の入力仕様テンプレを verification.md に追加,U11 RQ3に「対立予測の事前固定」欄を追加します。,担当: 実験設計WG。前提: 理論代表者間の合意。完了条件: 事前登録済み比較実験の実施。,中〜高 (比較実験進展、統一判定不足),research_deepening_round5_2026-03-01.md#u11
U11,4,意識指標を臨床/研究で運用する際の失敗条件をどう明示するか。,臨床運用では、指標が外れたときの失敗条件（偽陽性/偽陰性）を先に明記する必要があります。,https://doi.org/10.1186/s12984-024-01455-1,https://doi.org/10.1016/j.neuron.2024.03.002,,理論間識別力; 指標計算コスト; 偽陽性/偽陰性,理論比較の入力仕様テンプレを verification.md に追加,U11 RQ4に「偽陽性率/偽陰性率」の最小報告欄を追加します。,担当: 臨床研究WG。前提: 臨床評価プロトコル承認。完了条件: 失敗条件を含む運用手順公開。,中〜高 (比較実験進展、統一判定不足),research_deepening_round5_2026-03-01.md#u11
U12,1,分岐後主体の識別子を何に基づいて付与するか。,分岐後主体IDは、技術IDだけでなく、法的責任追跡と結びつける必要があります。,https://doi.org/10.1016/j.patter.2023.100861,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; ID衝突率; 責任追跡率,分岐本人性の監査データ項目を issue.md に追記,U12 RQ1に「ID衝突時の責任追跡ルール」欄を追加します。,担当: 法務/ガバナンスWG。前提: 管轄法域整理。完了条件: 追跡ルールの承認。,中 (法制度議論あり、運用規約不足),research_deepening_round5_2026-03-01.md#u12
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,責任・権利・同意の継承時点は、法的イベントとして明示しないと運用で破綻します。,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; ID衝突率; 責任追跡率; 撤回反映遅延; 権限残留率,分岐本人性の監査データ項目を issue.md に追記,U12 RQ2に「継承時点タイムスタンプ」を必須欄として追加します。,担当: 法務WG。前提: 継承イベント定義。完了条件: 法務監査で追跡可能な台帳整備。,中 (法制度議論あり、運用規約不足),research_deepening_round5_2026-03-01.md#u12
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,心理的連続性と法的個体がずれるケースは、先に紛争解決ルールを持つ必要があります。,https://doi.org/10.1111/bioe.70045,https://doi.org/10.1007/s00146-025-02796-8,,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延,分岐本人性の監査データ項目を issue.md に追記,U12 RQ3に「基準不一致時の裁定ルート」欄を追加します。,担当: 倫理・法務WG。前提: 紛争解決手順の合意。完了条件: 裁定手順の公開。,中 (法制度議論あり、運用規約不足),research_deepening_round5_2026-03-01.md#u12
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,技術性能と人格帰属は別軸なので、評価レポートを分けて管理する方が実務的です。,https://doi.org/10.1016/j.patter.2023.100861,https://www.iso.org/standard/42001,,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延,分岐本人性の監査データ項目を issue.md に追記,U12 RQ4に「性能KPI」「帰属KPI」の二系統欄を追加します。,担当: ガバナンス委員会。前提: KPI体系の承認。完了条件: 二系統監査の運用開始。,中 (法制度議論あり、運用規約不足),research_deepening_round5_2026-03-01.md#u12
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,記憶編集・再同期が起きるなら、法的主体IDの再編条件を先に定める必要があります。,https://doi.org/10.1007/s00146-025-02796-8,https://oecd.ai/en/ai-principles,,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; 時刻ずれ(ms); ジッタ分散; ID衝突率; 責任追跡率,分岐本人性の監査データ項目を issue.md に追記,U12 RQ5に「再編トリガー条件」「再編後の監査ID」欄を追加します。,担当: 法務/運用WG。前提: ID再編ポリシー草案。完了条件: 再編監査ログの検証完了。,中 (法制度議論あり、運用規約不足),research_deepening_round5_2026-03-01.md#u12
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,同意撤回時の権限剥奪は、技術実装（鍵管理・監査）と制度要件を同時に満たす必要があります。,https://doi.org/10.6028/NIST.AI.600-1,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,,同一性ID衝突率; 責任追跡完全性; 同意撤回反映遅延; ID衝突率; 責任追跡率; 撤回反映遅延; 権限残留率,分岐本人性の監査データ項目を issue.md に追記,U12 RQ6に「撤回反映遅延」「権限残留率」の監査欄を追加します。,担当: セキュリティ/法務WG。前提: 鍵管理設計。完了条件: 撤回時監査で0件残留を確認。,中 (法制度議論あり、運用規約不足),research_deepening_round5_2026-03-01.md#u12
