uid,rq_index,supplementary_1,domain,source_class,quality_grade,assessment_note,recommended_action,basis
U8,2,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U8,3,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U8,4,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U8,5,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U8,6,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U10,1,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U10,2,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U10,3,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U10,4,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U11,1,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U11,2,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U11,3,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U11,4,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U12,1,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U12,2,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U12,3,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U12,4,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U12,5,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U12,6,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U13,1,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U13,2,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U13,3,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U13,4,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U13,5,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U13,6,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,DOI一次情報。本文で研究デザイン確認を推奨,維持,URL種別に基づく機械判定（Round 13）
U14,1,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U14,2,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U14,3,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U14,4,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U14,5,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U14,6,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,査読前の可能性があるため、結論根拠ではなく補助に限定,要追跡,URL種別に基づく機械判定（Round 13）
U15,1,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,制度・規格根拠として有効,維持,URL種別に基づく機械判定（Round 13）
U15,2,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,制度・規格根拠として有効,維持,URL種別に基づく機械判定（Round 13）
U15,3,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,制度・規格根拠として有効,維持,URL種別に基づく機械判定（Round 13）
U15,4,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,制度・規格根拠として有効,維持,URL種別に基づく機械判定（Round 13）
