unit,title,decision,reason,suggested_replacement_title,suggested_replacement_url,priority
U14,Technological Competence is a Precondition for Effective Implementation of VR HMDs in Human Neuroscience,review_needed,Neuroscience operations link exists but weak for reproducibility metrics,ezBIDS for curation and validation workflow,https://arxiv.org/abs/2311.04912,medium
U14,Preregistration in diverse contexts: a preregistration template for the application of cognitive models,keep,Direct support for exploration vs validation split,Enhancing precision in human neuroscience,https://doi.org/10.7554/eLife.85980,low
U14,A colouring protocol for the generalized Russian cards problem,replace,Mathematical cards protocol is off-scope for U14 reproducibility,A comparison of neuroelectrophysiology databases,https://doi.org/10.1038/s41597-023-02614-0,high
U14,Behavior Score Cards,replace,Keyword overlap only and no direct methodological fit,EEG datasets for seizure detection and prediction,https://doi.org/10.1002/epi4.12704,high
U14,Reproductive Health Safety Cards,replace,Different domain and no direct reproducibility contract link,TARGET statement for transparent reporting,https://doi.org/10.1001/jama.2025.13350,high
U15,Honest Computing: Achieving demonstrable data lineage and provenance for driving data and process-sensitive policies,keep,Data lineage is directly useful for governance auditing,EU AI Act Regulation 2024/1689,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,low
U15,Byzantine-Resilient SGD in High Dimensions on Heterogeneous Data,replace,Robust optimization topic is weakly linked to legal governance mapping,Neurorights in neurology,https://doi.org/10.1016/S1474-4422(25)00124-3,high
U15,Data Encoding for Byzantine-Resilient Distributed Optimization,replace,Same issue as above and weak policy integration fit,Establishing Neurorights: New Rights versus Derived Rights,https://doi.org/10.1093/jhuman/huae042,high
U15,Equal access to mental augmentation: Should it be a fundamental right?,keep,Directly supports rights and equity discussions in U15,OECD AI Principles,https://oecd.ai/en/ai-principles,low
U15,Dynamic Neural Communication: Convergence of Computer Vision and Brain-Computer Interface,replace,Technical convergence paper is not a governance anchor,NIST AI RMF Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,high
U15,Privacy and Security in Brain-Computer Interfaces,keep,Core basis for data sensitivity and safeguards,EU AI Act Regulation 2024/1689,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,low
U15,Towards Neurohaptics: Brain-Computer Interfaces for Decoding Intuitive Sense of Touch,replace,Application-level BCI paper is weak for governance KPIs,Council of Europe Framework Convention on AI CETS No.225,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,high
U15,Privacy and Ethics in Brain–Computer Interface Research,keep,Strong bridge from ethics to operational governance,ISO/IEC 42001 AI management systems,https://www.iso.org/standard/42001,low
